ID,AGE,HOUSESIZE,LOTSIZE,ROOMS,QUALITY,LN_DIST_CBD,LN_DIST_MEUSE,DIST_MEUSE,FP_PROTECTED,INIT_LOG_PRICE_2020,INIT_PRICE_2020
58,50,158,148,5,2,7.504847,6.376097,587.63,0,12.11242,182120
59,43,114,139,8,2,7.541589,6.078261,436.27,1,12.154043,189860
60,58,182,414,5,2,8.14044,8.086041,3248.8,0,12.229564,204754
61,63,131,146,4,1,7.451268,7.152371,1277.13,0,11.916026,149646
62,63,165,133,5,2,7.308175,7.42781,1682.12,0,12.012558,164812
63,27,192,222,6,2,8.124065,7.438478,1700.16,0,12.327819,225894
64,79,94,93,3,2,8.229809,7.956361,2853.67,0,11.70448,121113
65,60,155,158,5,2,7.40713,7.690579,2187.64,0,11.993741,161739
66,61,175,250,5,2,8.096887,7.473524,1760.8,0,12.243385,207603
67,49,144,153,7,1,7.966745,7.31783,1506.93,0,12.08578,177332
68,62,160,373,8,2,7.818028,7.23626,1388.89,0,12.205764,199938
69,62,140,161,8,1,7.605154,7.474596,1762.69,0,12.226758,204180
70,57,177,183,7,2,8.085949,7.318069,1507.29,0,12.282365,215856
71,67,151,144,5,2,8.015955,7.695781,2199.05,0,12.02731,167261
72,41,130,208,3,2,7.78075,6.510601,672.23,1,12.148915,188889
73,39,186,103,5,2,7.49104,4.412071,82.44,1,12.3892,240193
74,64,139,198,5,1,7.133764,7.394106,1626.37,0,11.989394,161038
75,62,165,357,7,1,7.771242,7.634115,2067.54,0,12.117418,183032
76,68,207,129,4,1,7.246611,6.696367,809.46,0,12.214755,201744
77,88,119,175,4,2,7.50171,5.449449,232.63,1,12.127875,184956
78,65,120,124,3,2,7.499318,7.291193,1467.32,1,11.939328,153174
79,57,251,305,6,1,7.547606,5.32179,204.75,1,12.503077,269164
80,128,146,541,3,2,6.987348,4.996672,147.92,1,12.323142,224839
81,66,159,320,6,2,8.176079,7.2648,1429.1,0,12.166683,192275
82,38,135,255,3,2,8.198696,7.977251,2913.91,0,11.79406,132463
83,44,141,280,6,2,7.920604,7.224105,1372.11,0,12.000286,162801
84,104,167,281,7,1,6.330176,7.62879,2056.56,0,12.281984,215773
85,126,105,125,3,2,7.455995,7.692351,2191.52,0,11.609894,110183
86,61,124,161,3,2,7.850992,8.261098,3870.34,0,11.855741,140891
87,80,147,235,6,2,7.860832,5.77088,320.82,1,12.214482,201689
88,48,97,311,4,2,8.210124,8.127936,3387.8,0,11.940178,153304
89,22,114,196,3,2,8.068075,5.54709,256.49,1,11.957756,156023
90,69,150,251,4,2,7.276531,6.187607,486.68,1,12.244909,207920
91,131,110,168,6,2,7.04032,7.372545,1591.68,0,11.993273,161664
92,40,130,263,7,2,7.751228,7.641881,2083.66,0,12.120254,183552
93,59,107,121,4,2,7.559927,5.925619,374.51,1,12.064092,173528
94,71,189,336,6,2,7.661951,7.364522,1578.96,0,12.262724,211657
95,38,165,182,9,2,8.08921,7.259165,1421.07,0,12.363386,234072
96,56,183,246,3,2,7.355969,7.062192,1167.0,0,12.068009,174209
97,97,99,60,2,2,7.420588,6.19856,492.04,1,11.886476,145288
98,41,152,254,6,2,7.639085,6.792344,891.0,1,12.311421,222220
99,66,232,269,8,2,7.45404,7.253831,1413.51,0,12.574691,289147
100,42,163,172,5,2,8.051708,7.517325,1839.64,0,12.236419,206162
101,68,124,167,6,2,7.535974,6.259639,523.03,1,12.089307,177959
102,58,153,254,7,2,7.808532,7.543427,1888.29,0,12.072757,175038
103,69,147,115,11,2,7.32872,7.244513,1400.4,0,12.259426,210960
104,74,156,273,8,2,7.577734,7.988265,2946.18,0,12.28878,217245
105,65,151,324,6,2,8.032024,8.29405,4000.0,0,12.145082,188166
106,119,138,120,5,2,7.239759,7.541232,1884.15,0,12.040605,169499
107,44,226,215,9,2,7.457774,6.732151,838.95,0,12.464812,259059
108,43,140,131,6,2,7.093305,7.446603,1714.03,0,12.162543,191481
109,17,128,225,5,3,7.96844,7.592986,1984.23,0,11.97789,159196
110,79,111,150,5,1,7.210776,7.581276,1961.13,0,11.963978,156996
111,39,113,290,5,2,8.065613,6.282005,534.86,1,12.30893,221667
112,63,116,137,1,3,8.320358,7.942863,2815.41,0,11.817374,135588
113,52,143,404,5,2,7.528128,6.535633,689.27,1,12.282451,215874
114,68,166,273,5,2,7.858795,7.968648,2888.95,0,12.077633,175893
115,82,118,148,4,2,7.533681,7.113028,1227.86,0,11.792183,132215
116,67,96,256,9,2,7.498604,6.125318,457.29,1,12.187672,196354
117,42,146,222,3,2,7.646404,7.829356,2513.31,0,11.877488,143988
118,132,148,302,4,2,7.718429,7.717632,2247.63,0,11.929824,151725
119,108,117,120,4,2,8.017352,7.498432,1805.21,0,12.013498,164967
120,63,112,142,6,2,7.62823,8.05537,3150.67,0,11.974739,158695
121,35,126,102,8,2,6.968711,5.003544,148.94,1,12.351247,231248
122,39,161,262,6,3,8.040787,7.894482,2682.44,0,12.195279,197853
123,66,121,90,5,1,8.09147,7.905648,2712.56,0,11.799372,133169
124,66,161,705,5,1,7.953183,8.03288,3080.6,0,12.235551,205983
125,73,135,374,5,2,7.229341,8.023084,3050.57,0,12.08567,177313
126,49,103,153,7,2,7.175957,6.178815,482.42,1,12.191379,197083
127,89,134,740,5,2,7.473555,7.047248,1149.69,0,12.231616,205174
128,77,164,302,5,2,7.939736,6.721932,830.42,0,12.150919,189268
129,41,80,107,5,2,8.14146,7.928554,2775.41,0,11.656254,115411
130,25,135,229,5,3,7.914329,7.894967,2683.74,0,11.929594,151690
131,69,94,151,7,2,8.048841,5.896219,363.66,1,12.060256,172863
132,51,129,154,4,2,8.329885,7.749219,2319.76,0,11.899238,147154
133,69,109,207,5,2,7.15998,6.679436,795.87,0,11.915061,149501
134,17,131,236,7,2,8.124931,7.618118,2034.73,0,12.080912,176471
135,59,172,297,4,2,6.312523,7.169535,1299.24,0,12.236694,206219
136,94,106,177,3,2,8.026875,7.391871,1622.74,0,11.647735,114432
137,103,104,123,2,1,7.955268,6.995821,1092.06,0,11.615805,110836
138,91,113,96,3,1,6.831151,5.458819,234.82,0,11.930243,151788
139,35,126,195,5,1,8.245235,7.521415,1847.18,0,11.906902,148287
140,81,143,129,5,2,7.495683,7.497363,1803.28,1,12.001119,162937
141,130,129,409,5,2,7.580747,6.057767,427.42,1,12.226165,204059
142,55,91,234,3,1,7.885376,7.441238,1704.86,0,11.79498,132585
143,38,123,193,5,2,7.782548,7.094185,1204.94,1,12.116926,182942
144,134,180,328,4,2,7.746058,6.080368,437.19,1,12.284667,216353
145,50,103,167,6,2,7.644704,6.094337,443.34,1,12.047485,170670
146,23,87,260,9,3,8.124399,7.321202,1512.02,0,12.0908,178225
147,37,107,158,6,3,8.198416,6.275477,531.38,1,12.174719,193827
148,32,83,309,5,1,7.54785,7.387171,1615.13,1,11.897401,146884
149,110,110,205,4,1,7.885607,7.533822,1870.24,0,11.854547,140723
150,51,128,214,7,2,8.078324,7.59414,1986.52,0,12.080916,176472
151,36,89,105,5,2,7.884082,7.462783,1741.99,0,11.901139,147434
152,26,96,179,3,2,7.919872,6.975377,1069.96,1,11.878728,144167
153,94,138,396,4,1,8.041101,7.685225,2175.96,0,12.00652,163819
154,134,189,207,7,1,6.342019,4.529584,92.72,1,12.560188,284984
155,72,180,215,6,3,6.798637,7.061969,1166.74,0,12.316143,223271
156,52,123,302,5,2,7.795906,7.755022,2333.26,0,11.859415,141409
157,54,123,87,1,2,7.247286,6.466829,643.44,0,11.969623,157885
158,103,100,138,6,2,7.408503,5.795115,328.69,1,12.114839,182561
159,68,101,291,5,2,7.882386,7.261997,1425.1,0,11.81212,134877
160,62,133,176,4,2,7.485276,6.330256,561.3,1,12.034737,168508
161,78,136,419,3,2,8.079787,7.991274,2955.06,0,12.029521,167631
162,47,114,204,4,1,7.674802,7.567325,1933.96,0,11.805244,133953
163,31,145,283,5,2,7.871099,7.537307,1876.77,0,12.033226,168253
164,39,88,87,5,2,8.068147,7.588774,1975.89,0,11.920865,150372
165,82,122,242,5,2,7.599502,4.492897,89.38,0,12.070974,174726
166,64,92,83,4,2,7.812639,7.579781,1958.2,0,11.727122,123887
167,59,139,83,11,2,7.940267,7.359595,1571.2,0,12.276637,214623
168,65,163,116,4,3,7.484693,5.453439,233.56,1,12.326955,225698
169,58,141,162,4,2,7.48362,7.480124,1772.46,1,12.094856,178949
170,64,113,609,6,2,7.16726,7.443476,1708.68,0,12.250712,209130
171,66,138,208,7,2,7.901466,7.180892,1314.08,1,12.202426,199272
172,45,134,131,6,2,7.360247,5.957287,386.56,1,12.234594,205786
173,26,181,272,5,2,8.029649,6.682923,798.65,0,12.19801,198394
174,31,139,246,7,2,7.775809,7.518526,1841.85,0,12.143713,187909
175,94,137,124,5,1,7.702615,6.00554,405.67,1,12.058241,172515
176,75,223,245,10,2,7.705489,5.390258,219.26,0,12.669988,318058
177,42,159,307,3,2,7.888034,6.310009,550.05,1,12.214543,201701
178,95,126,279,6,2,7.141615,6.413344,609.93,0,12.20137,199062
179,41,87,143,2,1,7.816373,6.901023,993.29,0,11.658226,115639
180,24,164,312,6,2,8.046906,7.565089,1929.64,0,12.113473,182312
181,37,101,143,1,2,8.342162,8.176794,3557.43,0,11.649566,114642
182,64,180,210,7,3,7.917225,7.383915,1609.88,1,12.393301,241181
183,52,101,100,8,2,8.020569,7.897739,2691.19,0,11.992806,161588
184,24,135,226,4,2,7.678014,6.325219,558.48,1,12.280952,215551
185,60,154,820,9,2,8.198178,7.639748,2079.22,0,12.404292,243846
186,89,114,129,6,3,8.107602,7.226703,1375.68,0,12.086214,177409
187,15,88,147,4,2,8.11101,7.02821,1128.01,0,11.895728,146639
188,67,192,171,4,2,7.749831,5.330688,206.58,1,12.320838,224322
189,37,145,402,6,3,7.474558,7.454089,1726.91,0,12.460822,258028
190,63,198,497,7,2,7.984955,7.474545,1762.6,0,12.374754,236749
191,90,123,144,5,2,8.161289,7.626054,2050.94,0,11.959219,156251
192,72,102,146,5,2,7.416711,7.54548,1892.17,0,11.851591,140307
193,76,96,267,7,2,7.950385,7.277365,1447.17,0,11.981909,159837
194,80,173,480,7,2,7.721589,7.645144,2090.47,0,12.346234,230092
195,92,157,106,6,2,6.789097,6.769378,870.77,0,12.266662,212493
196,57,141,282,1,2,8.188804,4.86453,129.61,1,12.076145,175632
197,35,162,389,5,2,8.045114,8.026631,3061.41,0,12.231513,205153
198,98,191,556,4,2,7.633531,5.604146,271.55,1,12.430256,250260
199,40,146,242,6,2,7.420687,6.124618,456.97,0,12.179126,194683
200,65,121,296,7,2,7.66048,7.760829,2346.85,0,12.309721,221842
201,26,184,215,4,2,7.979299,7.454587,1727.77,0,12.159374,190875
202,140,199,144,1,2,7.644343,7.990079,2951.53,0,11.951749,155088
203,37,128,134,5,3,7.945461,7.333441,1530.64,0,12.002831,163216
204,32,79,143,6,3,7.416431,7.251664,1410.45,1,11.965139,157179
205,56,113,586,6,2,7.016812,6.459357,638.65,0,12.302921,220339
206,24,109,280,5,2,7.99922,7.51288,1831.48,0,11.922325,150591
207,126,199,100,6,2,6.484517,6.405278,605.03,1,12.432926,250929
208,33,94,132,5,2,7.242358,5.092154,162.74,1,12.068042,174214
209,22,122,172,5,2,8.133035,7.721189,2255.64,0,11.99535,162000
210,32,88,186,5,2,7.460088,7.267923,1433.57,1,11.883231,144818
211,108,77,66,10,2,7.925596,7.426073,1679.2,0,11.921887,150525
212,41,83,143,6,2,7.963623,7.432632,1690.25,0,11.889417,145716
213,41,125,269,5,2,7.995395,7.558501,1916.97,0,12.04485,170221
214,76,129,219,6,2,7.552417,6.594865,731.33,1,12.193436,197489
215,62,92,103,1,2,7.92928,7.153466,1278.53,0,11.612536,110474
216,112,204,454,5,2,8.156405,7.8223,2495.64,0,12.345672,229963
217,78,161,261,8,2,7.916581,7.278864,1449.34,0,12.203375,199461
218,77,131,236,5,2,8.139939,7.148236,1271.86,0,11.974541,158664
219,74,99,183,1,2,7.943216,7.830044,2515.04,0,11.617511,111025
220,112,146,176,4,2,8.100597,7.328818,1523.58,1,12.150688,189224
221,77,162,179,10,3,7.622894,7.153106,1278.07,0,12.486967,264863
222,44,142,331,4,2,7.745851,7.577542,1953.82,0,12.090293,178134
223,70,132,146,9,2,8.09412,7.899476,2695.87,0,12.232928,205444
224,15,131,146,5,3,8.078178,6.069883,432.63,1,12.407399,244605
225,47,104,133,4,2,7.861187,7.91033,2725.29,0,11.690696,119455
226,68,133,235,4,2,7.993763,7.908825,2721.19,0,11.888985,145653
227,49,98,258,8,1,7.301269,6.44518,629.66,0,12.004543,163496
228,76,145,154,6,3,7.741859,5.375926,216.14,1,12.261799,211462
229,45,157,351,9,2,8.018934,7.394063,1626.3,0,12.228476,204531
230,49,166,230,4,2,7.559321,7.770536,2369.74,0,12.060914,172977
231,57,165,526,4,2,7.264587,7.737062,2291.73,0,12.107315,181192
232,43,109,236,2,1,7.926023,7.529734,1862.61,0,11.746427,126301
233,46,97,290,7,1,7.968881,5.840787,344.05,1,12.066136,173883
234,44,115,144,7,2,7.903517,6.713928,823.8,0,12.097247,179377
235,61,146,423,6,2,6.450136,7.325998,1519.29,0,12.307832,221423
236,82,94,137,5,1,7.672315,6.979797,1074.7,0,11.862934,141908
237,48,194,225,8,1,7.466141,8.226095,3737.21,0,12.220676,202942
238,35,134,191,5,2,7.703419,8.245064,3808.78,0,12.151155,189313
239,15,82,391,6,2,8.103474,7.561304,1922.35,1,12.014003,165050
240,62,95,122,5,2,7.218202,7.268962,1435.06,0,11.761433,128211
241,34,108,136,5,1,7.419795,7.340141,1540.93,1,11.831087,137460
242,138,109,182,3,2,7.424688,6.592551,729.64,0,11.768423,129110
243,76,185,475,7,2,7.833039,7.627759,2054.44,0,12.358539,232941
244,64,127,249,4,2,7.717371,7.494414,1797.97,0,11.961315,156579
245,49,108,318,4,2,8.164581,7.493156,1795.71,0,11.870165,142938
246,63,154,633,5,2,7.89306,8.034223,3084.74,0,12.360201,233328
247,26,117,147,4,2,7.413846,7.316362,1504.72,0,11.974392,158640
248,98,111,170,8,2,8.187704,7.747869,2316.63,0,12.089404,177976
249,102,125,184,6,2,8.019454,7.324088,1516.39,0,11.947815,154479
250,60,152,159,7,2,7.474956,5.429258,227.98,1,12.24743,208445
251,28,135,246,6,2,7.494289,7.543284,1888.02,0,12.099495,179781
252,55,145,444,6,3,8.208906,7.853061,2573.6,0,12.238325,206556
253,79,158,168,6,3,7.821628,7.646827,2093.99,0,12.054528,171876
254,48,132,199,3,1,7.96387,7.885269,2657.84,0,11.790802,132032
255,61,130,153,5,1,7.763243,5.6458,283.1,1,12.052863,171590
256,70,155,327,9,2,7.125887,5.506591,246.31,1,12.485627,264508
257,64,86,206,7,2,7.003832,7.146953,1270.23,0,11.954923,155581
258,31,113,262,6,2,8.003102,6.717587,826.82,1,12.054344,171844
259,73,119,115,4,2,7.221931,7.57835,1955.4,0,11.90994,148738
260,41,117,588,9,2,8.187744,6.025093,413.68,1,12.390217,240438
261,55,127,317,7,2,7.970585,7.045263,1147.41,0,12.185507,195929
262,115,165,537,5,2,7.890142,7.43385,1692.31,0,12.31759,223595
263,43,102,274,4,3,8.17775,7.923116,2760.36,0,11.912203,149075
264,55,143,125,1,2,8.122999,7.278553,1448.89,0,11.793822,132432
265,18,121,174,4,2,8.176855,8.215158,3696.56,0,11.897015,146828
266,61,137,318,6,1,8.032656,4.618086,101.3,1,12.260976,211288
267,44,172,168,4,1,7.831445,5.813354,334.74,1,12.099182,179725
268,48,122,152,8,2,6.738307,5.982726,396.52,1,12.353669,231809
269,137,191,147,4,2,7.387418,6.350781,572.94,1,12.350505,231077
270,49,111,230,5,2,8.159319,6.872397,965.26,0,12.066128,173881
271,42,127,178,8,2,7.676145,7.386124,1613.44,0,12.276363,214564
272,40,105,224,5,2,8.128389,8.081568,3234.3,0,11.813577,135074
273,61,136,180,7,2,7.337251,7.032527,1132.89,1,12.212723,201335
274,74,88,115,1,1,7.452432,7.462014,1740.65,0,11.597778,108856
275,39,121,412,4,2,8.258298,7.282899,1455.2,0,11.979183,159402
276,85,147,138,6,2,7.43773,7.8079,2459.96,0,12.035372,168615
277,88,127,137,2,2,7.885262,4.898287,134.06,1,11.897747,146935
278,36,108,123,6,1,7.902978,7.478808,1770.13,0,11.868217,142660
279,91,172,247,9,1,7.837226,4.501919,90.19,0,12.335324,227595
280,104,169,239,6,2,7.879402,7.829439,2513.52,0,12.172365,193371
281,73,130,295,7,2,7.455979,6.385751,593.33,0,12.139352,187091
282,75,168,181,4,1,6.401011,4.551875,94.81,0,12.131595,185646
283,86,108,134,2,2,7.812751,6.919358,1011.67,0,11.821783,136187
284,47,114,127,5,2,8.168494,7.914943,2737.89,0,11.895739,146640
285,73,238,249,8,2,7.01845,7.474296,1762.16,0,12.595543,295240
286,44,194,138,8,1,8.015281,7.691323,2189.27,0,12.388758,240087
287,63,167,395,4,2,8.182766,7.724089,2262.19,0,12.132935,185895
288,105,120,563,3,1,8.005994,5.945839,382.16,1,12.082477,176747
289,45,134,115,6,2,7.644781,6.61739,747.99,0,11.998561,162521
290,45,185,77,4,3,7.750894,6.692605,806.42,0,12.116586,182880
291,51,102,113,5,1,7.900089,4.877866,131.35,1,12.10495,180764
292,63,135,572,7,2,7.192606,5.962267,388.49,1,12.333924,227277
293,73,134,110,5,3,8.207899,7.831828,2519.53,0,11.944991,154044
294,101,113,189,7,2,7.708146,7.402006,1639.27,0,12.042305,169788
295,57,133,442,5,2,7.508503,8.037869,3096.01,0,12.080953,176478
296,115,132,133,5,2,7.553069,6.517745,677.05,1,12.03295,168207
297,70,157,170,5,2,8.038075,7.294873,1472.73,0,12.050746,171227
298,66,168,122,3,2,6.462794,6.259428,522.92,1,12.303183,220396
299,45,165,144,4,2,7.679691,7.486709,1784.17,1,12.049076,170941
300,49,120,454,6,1,8.03796,7.911232,2727.75,0,11.873839,143464
